entity_id,entity_type,name,path,description,url,created_at,updated_at,metadata_json
"project_67572735","project","digital-delivery-connect","atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-connect","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-connect","2025-02-28T17:14:04.701Z","2025-02-28T17:14:04.701Z","{""id"":67572735,""name"":""digital-delivery-connect"",""path"":""atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-connect"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/delivery-tracking"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572714","project","data-uploader-ui","atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/data-uploader-ui","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/data-uploader-ui","2025-02-28T17:13:37.713Z","2025-02-28T17:13:37.713Z","{""id"":67572714,""name"":""data-uploader-ui"",""path"":""atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/data-uploader-ui"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/delivery-tracking"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572686","project","digital-delivery-manifest","atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-manifest","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-manifest","2025-02-28T17:13:06.822Z","2025-02-28T17:13:06.822Z","{""id"":67572686,""name"":""digital-delivery-manifest"",""path"":""atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-manifest"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/delivery-tracking"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572663","project","digital-delivery-upload","atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-upload","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-upload","2025-02-28T17:12:35.371Z","2025-02-28T17:12:35.371Z","{""id"":67572663,""name"":""digital-delivery-upload"",""path"":""atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-upload"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/delivery-tracking"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572649","project","digital-delivery-checksum","atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-checksum","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-checksum","2025-02-28T17:12:12.911Z","2025-02-28T17:12:12.911Z","{""id"":67572649,""name"":""digital-delivery-checksum"",""path"":""atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-checksum"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/delivery-tracking"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67572641","project","digital-delivery-validator","atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-validator","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-validator","2025-02-28T17:11:51.140Z","2025-02-28T17:11:51.140Z","{""id"":67572641,""name"":""digital-delivery-validator"",""path"":""atlas-datascience/lion/predecessor/core/data-in/delivery-tracking/digital-delivery-validator"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/delivery-tracking"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67568313","project","cib-processor","atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/processors/cib-processor","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/processors/cib-processor","2025-02-28T14:38:12.527Z","2025-02-28T14:38:12.527Z","{""id"":67568313,""name"":""cib-processor"",""path"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/processors/cib-processor"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/processors"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67568298","project","fbg-processor","atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/processors/fbg-processor","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/processors/fbg-processor","2025-02-28T14:37:49.633Z","2025-02-28T14:37:49.633Z","{""id"":67568298,""name"":""fbg-processor"",""path"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/processors/fbg-processor"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/processors"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67568281","project","pod-processor","atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/processors/pod-processor","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/processors/pod-processor","2025-02-28T14:37:28.510Z","2025-02-28T14:37:28.510Z","{""id"":67568281,""name"":""pod-processor"",""path"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/processors/pod-processor"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/processors"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67568220","project","atoc-product-conditioning","atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners/atoc-product-conditioning","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners/atoc-product-conditioning","2025-02-28T14:35:55.776Z","2025-02-28T14:35:55.776Z","{""id"":67568220,""name"":""atoc-product-conditioning"",""path"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners/atoc-product-conditioning"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67568183","project","xml-product-conditioning","atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners/xml-product-conditioning","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners/xml-product-conditioning","2025-02-28T14:35:07.325Z","2025-02-28T14:35:07.325Z","{""id"":67568183,""name"":""xml-product-conditioning"",""path"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners/xml-product-conditioning"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67568168","project","no-manifest-product-conditioning","atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners/no-manifest-product-conditioning","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners/no-manifest-product-conditioning","2025-02-28T14:34:45.915Z","2025-02-28T14:34:45.915Z","{""id"":67568168,""name"":""no-manifest-product-conditioning"",""path"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners/no-manifest-product-conditioning"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67568156","project","dted-product-conditioning","atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners/dted-product-conditioning","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners/dted-product-conditioning","2025-02-28T14:34:25.925Z","2025-02-28T14:34:25.925Z","{""id"":67568156,""name"":""dted-product-conditioning"",""path"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners/dted-product-conditioning"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/conditioners"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_67568143","project","product-conditioning-router","atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/product-conditioning-router","","https://gitlab.com/atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/product-conditioning-router","2025-02-28T14:34:00.288Z","2025-02-28T14:34:00.288Z","{""id"":67568143,""name"":""product-conditioning-router"",""path"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement/product-conditioning-router"",""namespace"":""atlas-datascience/lion/predecessor/core/data-in/extract-transform-load/product-enhancement"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
